Table 1/2: Legal Demands,,,,,,,,,,,,,,,
Time period start,Country,Court Orders,Other legal demands,Combined requests,Court orders compliance rate,Other legal demands compliance rate,Combined compliance rate,Court orders accounts specified,Other legal demands accounts specified,Combined accounts specified,Combined accounts withheld,Combined tweets withheld,Court orders accounts TOS,Other legal demands accounts TOS,Combined accounts TOS
2020-07-01,Afghanistan,0,1,1,NULL,0,0,0,1,1,0,0,0,0,0
2020-07-01,Argentina,1,3,4,0,0.67,0.5,1,5,6,0,0,0,2,2
2020-07-01,Australia,1,1,2,0,1,0.5,4,1,5,0,0,0,1,1
2020-07-01,Austria,0,2,2,NULL,0,0,0,2,2,0,0,0,0,0
2020-07-01,Azerbaijan,0,16,16,NULL,0.56,0.56,0,19,19,0,0,0,10,10
2020-07-01,Belgium,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0
2020-07-01,Bosnia And Herzegovina,0,1,1,NULL,1,1,0,1,1,0,0,0,1,1
2020-07-01,Brazil,256,32,288,0.41,0.28,0.4,1024,62,1086,27,460,77,29,106
2020-07-01,Bulgaria,0,4,4,NULL,0,0,0,7,7,0,0,0,0,0
2020-07-01,Canada,0,12,12,NULL,0.42,0.42,0,14,14,0,0,0,5,5
2020-07-01,Chile,0,2,2,NULL,0.5,0.5,0,2,2,0,0,0,1,1
2020-07-01,Colombia,2,11,13,0,0.45,0.38,2,16,18,0,0,0,9,9
2020-07-01,Cyprus,0,2,2,NULL,0,0,0,2,2,0,0,0,0,0
2020-07-01,Denmark,0,4,4,NULL,1,1,0,6,6,0,0,0,4,4
2020-07-01,Dominican Republic,0,3,3,NULL,0.67,0.67,0,4,4,0,0,0,3,3
2020-07-01,France,0,395,395,NULL,0.51,0.51,0,449,449,0,8,0,218,218
2020-07-01,Germany,1,19,20,0,0.37,0.35,1,18,19,1,23,0,2,2
2020-07-01,Greece,0,8,8,NULL,0.38,0.38,0,9,9,0,0,0,3,3
2020-07-01,Hong Kong SAR,5,10,15,0.8,0,0.27,5,10,15,0,0,4,0,4
2020-07-01,India,15,6956,6971,0.73,0.09,0.09,220,18908,19128,60,598,2,1308,1310
2020-07-01,Indonesia,0,167,167,NULL,0.26,0.26,0,49417,49417,0,0,0,157,157
2020-07-01,Iran**,0,1,1,NULL,0,0,0,1,1,0,0,0,0,0
2020-07-01,Ireland,0,4,4,NULL,0.25,0.25,0,6,6,0,0,0,1,1
2020-07-01,Israel,3,4,7,0.67,0.75,0.71,7,5,12,0,8,1,4,5
2020-07-01,Italy,4,3,7,0.5,0.67,0.57,7,4,11,1,7,1,2,3
2020-07-01,Jamaica,0,3,3,NULL,0,0,0,3,3,0,0,0,0,0
2020-07-01,Japan,19,16630,16649,0.95,0.29,0.29,91,19849,19940,0,136,1,6018,6019
2020-07-01,Kenya,0,2,2,NULL,0,0,0,1,1,0,0,0,0,0
2020-07-01,Latvia,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0
2020-07-01,Malaysia,0,153,153,NULL,0.63,0.63,0,173,173,0,0,0,109,109
2020-07-01,Mexico,1,80,81,0,0.66,0.65,2,146,148,0,0,0,77,77
2020-07-01,Nepal,0,4,4,NULL,0.25,0.25,0,4,4,0,0,0,1,1
2020-07-01,Netherlands,1,32,33,0,0.47,0.45,1,31,32,0,0,0,15,15
2020-07-01,New Zealand,1,1,2,0,1,0.5,1,1,2,0,0,0,1,1
2020-07-01,Norway,0,1,1,NULL,1,1,0,2,2,0,0,0,1,1
2020-07-01,Pakistan,3,414,417,0,0.41,0.41,2,6516,6518,0,0,0,724,724
2020-07-01,Philippines,0,3,3,NULL,0.67,0.67,0,10,10,0,0,0,2,2
2020-07-01,Poland,0,4,4,NULL,0.25,0.25,0,4,4,0,0,0,1,1
2020-07-01,Qatar,0,1,1,NULL,1,1,0,1,1,0,0,0,1,1
2020-07-01,Russia,569,5782,6351,0.04,0.27,0.25,612,5808,6420,8,994,22,553,575
2020-07-01,Rwanda,0,1,1,NULL,0,0,0,1,1,0,0,0,0,0
2020-07-01,Saudi Arabia,0,20,20,NULL,0.15,0.15,0,24,24,0,0,0,3,3
2020-07-01,Serbia,0,3,3,NULL,0.67,0.67,0,17,17,0,0,0,16,16
2020-07-01,Slovenia,0,2,2,NULL,0,0,0,4,4,0,0,0,0,0
